family,param,P,cfg,n_near,n_far,e_2b,e_near,e_diag,e_far,lin_2b,lin_near,lin_diag,ang_2b,ang_near,ang_diag
grown,0.05,24,2867,241,35,20.519,5.4018,1.7131,0.073871,20.253,4.6423,1.7036,22.201,8.9305,1.7745
grown,0.05,24,2803,230,46,25.181,6.8615,4.1623,0.093567,27.118,7.2235,4.8988,20.304,5.9936,1.6487
grown,0.05,24,2774,225,51,18.554,4.078,2.6295,0.055481,17.453,3.7302,2.6795,26.851,6.5142,2.095
grown,0.05,24,3293,234,42,19.98,4.9566,2.7709,0.066633,18.896,3.8997,2.9744,24.181,8.1114,1.59
grown,0.05,24,2611,236,40,22.602,4.7609,3.128,0.061974,23.154,4.3818,3.553,20.766,5.7957,0.91368
grown,0.05,24,3291,243,33,24.801,5.7883,3.142,0.056221,24.626,5.3132,3.2713,26.277,8.92,1.6231
grown,0.05,32,3352,376,120,20.243,6.3455,3.316,0.072595,21.081,5.8016,3.6786,17.317,7.8237,1.7187
grown,0.05,32,3339,417,79,17.146,4.2699,1.9314,0.056747,16.324,3.5886,2.0092,22.706,7.8324,1.1229
grown,0.05,32,3787,402,94,24.797,6.725,3.1466,0.080908,25.841,6.3422,3.5207,21.475,7.731,1.6277
grown,0.05,32,3629,407,89,17.016,5.2308,2.1815,0.064178,16.495,4.3024,2.3172,19.138,8.137,1.4417
grown,0.05,32,3328,406,90,17.307,4.865,2.1114,0.064435,16.655,4.3233,2.1917,21.484,7.7511,1.3893
grown,0.05,32,3825,397,99,19.354,4.5595,1.9526,0.041532,18,3.9409,1.9397,33.632,9.9714,2.1363
grown,0.1,8,10918,28,0,16.315,3.5577,0.024712,0.024712,19.534,3.5375,0.020447,10.02,3.5865,0.02979
grown,0.1,8,11549,27,1,18.225,3.3909,1.0304,0.031963,18.228,3.3126,0.86614,18.21,3.7233,1.57
grown,0.1,8,10193,28,0,12.4,4.033,0.028422,0.028422,13.068,3.8761,0.022817,11.154,4.2901,0.0361
grown,0.1,8,11198,28,0,9.8871,2.4008,0.026885,0.026885,10.967,2.5463,0.020231,8.6236,2.2396,0.03238
grown,0.1,8,10550,25,3,6.3071,1.2895,0.97129,0.023696,6.4314,1.1464,0.96946,5.7953,1.7395,0.97842
grown,0.1,8,10833,27,1,9.9084,2.1727,0.59493,0.01487,8.8215,2.3006,0.63783,13.486,1.5388,0.36946
grown,0.1,12,6425,65,1,7.5489,1.9838,0.31884,0.013735,7.3496,1.8402,0.33336,8.7016,2.7201,0.20478
grown,0.1,12,6728,61,5,9.5592,2.9338,1.2803,0.018866,9.6353,2.5439,1.3411,9.0954,4.6111,0.83312
grown,0.1,12,7089,61,5,21.816,5.3082,2.9059,0.037188,25.704,6.0902,3.6335,13.911,3.8147,1.0827
grown,0.1,12,6054,66,0,20.46,4.3726,0.035532,0.035532,21.339,4.2542,0.02511,18.927,4.5605,0.047972
