op,table,P,S_over_R,M_par,M_perp,M_o,N_tz,N_zt,res_par,res_perp,Rc,M_par_ref,M_par_relerr,M_perp_ref,M_perp_relerr,M_o_ref,M_o_relerr,N_tz_ref,N_tz_relerr,N_zt_ref,N_zt_relerr
rpy,B10,5,10,1.3030237143323011,1.2029695657103454,-0.012038897911244512,-0.00990683871140785,0.00990683871140785,9.059551016469091e-17,2.2632952307770703e-18,10.207809700224479,1.30275,0.0002101050334300948,1.20297,3.610145345958162e-07,-0.01198,0.004916353192363322,-0.00991,0.0003189998579364244,0.00989,0.0017025997379020177
rpy,B10,5,1000,1.0036333092406367,1.002422207798666,-0.00014295152750865218,-1.4208955088253936e-06,1.4208955088253936e-06,1.0175064395479179e-16,2.7544748886475963e-22,852.352109968744,1.00363,3.2972715409350357e-06,1.00242,2.2024686916536927e-06,-0.00014,0.021082339347515643,0.0,,0.0,
rpy,B10,6,0.1,2.8901207214306366,2.4407593262519436,-0.06908869888510291,-0.310773855304358,0.31077385530435814,2.898382762761553e-16,1.7411159851978233e-16,2.1000000000000005,2.73213,0.05782694140858466,2.41042,0.01258673851525618,-0.02376,1.9077735221002907,-0.2782,0.11708790547936025,0.16373,0.8980874323847686
rpy,B10,6,0.2,2.809952046075327,2.3637784601846876,-0.06126062840737837,-0.2831637813826897,0.2831637813826898,1.7446559674589796e-16,1.2542121927229258e-16,2.2000000000000006,2.67463,0.050594678918327786,2.34352,0.008644457988277378,-0.0316,0.9386274812461508,-0.26496,0.06870388504940272,0.17851,0.5862628501635193
rpy,B10,6,0.5,2.6044568393993077,2.1767269672564877,-0.04436493607140988,-0.219282032302755,0.21928203230275506,2.4838517859175165e-16,1.5497605662367722e-16,2.5000000000000004,2.51299,0.0363976137586333,2.16893,0.003594845041789135,-0.03422,0.2964621879430122,-0.21437,0.022913804649694447,0.17124,0.28055379761010896
rpy,B10,6,1,2.3472728854157405,1.960154767547771,-0.028628503378428996,-0.15227918909913546,0.15227918909913551,2.2050284480539545e-16,1.2114782537889783e-16,3.0000000000000004,2.2953,0.02264317754356311,1.9579,0.0011516254904597259,-0.02653,0.07909926040064058,-0.15135,0.0061393399348229055,0.13445,0.1326083235339199
rpy,B10,6,2,2.0180802288431496,1.7048649460981389,-0.015250219497505402,-0.08565704386826366,0.08565704386826367,1.080069831600264e-16,1.5696297420610392e-16,4.000000000000001,1.99848,0.009807568173386575,1.7045,0.00021410742043940985,-0.01514,0.007280019650290713,-0.08558,0.0009002555300730811,0.08163,0.04933289070517797
rpy,B10,6,5,1.585533213216593,1.3952338043007795,-0.005636220492892086,-0.027969646977392223,0.02796964697739223,9.908341643339046e-17,7.749348260548264e-17,7.000000000000001,1.58313,0.0015180138185701623,1.39522,9.893995770970932e-06,-0.00564,0.0006701253737436967,-0.02797,1.2621473284763634e-05,0.02773,0.008642155693913784
rpy,B10,6,10,1.34226505334061,1.2291450279135931,-0.0027134415329528074,-0.009517449318695966,0.00951744931869597,1.608635885684733e-16,5.359946039769257e-18,12.000000000000002,1.34198,0.0002124125103280375,1.22914,4.090594719273143e-06,-0.00271,0.0012699383589694394,-0.00952,0.00026792870840698435,0.0095,0.001836770389049463
rpy,B10,6,1000,1.004103330819066,1.0027355555426445,-2.8948962891260403e-05,-1.365047053490045e-06,1.3650470534900454e-06,1.3132183015525194e-16,8.71696966506579e-22,1002.0000000000001,1.0041,3.31721847038773e-06,1.00274,4.432312818356861e-06,-3e-05,0.03503457029131993,0.0,,0.0,
