exp,op,phi,mean,std,n,metric
fig4g,M_rpy,0.1,7.084,0.45699,10,max_rel_lin
fig4g,M_rpy,0.125,8.8097,0.46908,10,max_rel_lin
fig4g,M_rpy,0.15,10.236,0.28606,10,max_rel_lin
fig4g,M_rpy,0.175,11.93,0.67488,10,max_rel_lin
fig4g,M_rpy,0.2,13.47,0.75641,10,max_rel_lin
fig4g,SD,0.025,2.8876,0.26466,10,max_rel_lin
fig4g,SD,0.05,5.7905,0.41327,10,max_rel_lin
fig4g,SD,0.075,10.006,0.29863,10,max_rel_lin
fig4g,SD,0.1,13.175,0.65965,10,max_rel_lin
fig4g,SD,0.125,16.578,0.52466,10,max_rel_lin
fig4g,SD,0.15,20.31,0.42979,10,max_rel_lin
fig4g,SD,0.175,23.697,0.49565,10,max_rel_lin
fig4g,SD,0.2,26.717,0.46994,10,max_rel_lin
fig4g,SD_Minf,0.025,0.36484,0.070598,10,max_rel_lin
fig4g,SD_Minf,0.05,0.50156,0.10595,10,max_rel_lin
fig4g,SD_Minf,0.075,0.67574,0.081961,10,max_rel_lin
fig4g,SD_Minf,0.1,0.83429,0.17099,10,max_rel_lin
fig4g,SD_Minf,0.125,0.86471,0.0748,10,max_rel_lin
fig4g,SD_Minf,0.15,1.0543,0.091352,10,max_rel_lin
fig4g,SD_Minf,0.175,1.3082,0.072496,10,max_rel_lin
fig4g,SD_Minf,0.2,1.482,0.09817,10,max_rel_lin
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.025,0.40682,0.22796,10,err_mean_pct
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.05,0.14747,0.053993,10,err_mean_pct
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.075,0.31727,0.25899,10,err_mean_pct
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.1,0.26865,0.10701,10,err_mean_pct
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.125,0.56511,0.2058,10,err_mean_pct
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.15,0.69044,0.64395,10,err_mean_pct
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.175,1.2959,0.99241,10,err_mean_pct
fig4,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.2,0.72274,0.4969,10,err_mean_pct
fig4,SD,0.025,2.3216,0.42489,10,err_mean_pct
fig4,SD,0.05,4.7838,0.44353,10,err_mean_pct
fig4,SD,0.075,8.9051,0.76067,10,err_mean_pct
fig4,SD,0.1,11.634,0.4692,10,err_mean_pct
fig4,SD,0.125,14.952,0.81514,10,err_mean_pct
fig4,SD,0.15,19.217,0.9261,10,err_mean_pct
fig4,SD,0.175,22.456,1.0739,10,err_mean_pct
fig4,SD,0.2,24.577,0.63189,10,err_mean_pct
fig4,SD_Minf,0.025,0.3889,0.20551,10,err_mean_pct
fig4,SD_Minf,0.05,0.11874,0.071327,10,err_mean_pct
fig4,SD_Minf,0.075,0.23707,0.13317,10,err_mean_pct
fig4,SD_Minf,0.1,0.25088,0.076063,10,err_mean_pct
fig4,SD_Minf,0.125,0.43857,0.19351,10,err_mean_pct
fig4,SD_Minf,0.15,0.75626,0.81065,10,err_mean_pct
fig4,SD_Minf,0.175,1.1899,1.1337,10,err_mean_pct
fig4,SD_Minf,0.2,0.77735,0.42577,10,err_mean_pct
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.025,0.35859,0.026548,10,err_mean_pct
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.05,0.51907,0.047124,10,err_mean_pct
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.075,0.62571,0.060661,10,err_mean_pct
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.1,0.63525,0.055915,10,err_mean_pct
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.125,0.78297,0.076785,10,err_mean_pct
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.15,0.8389,0.098854,10,err_mean_pct
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.175,0.91085,0.081509,10,err_mean_pct
fig4g,M_mom_v2_kinf_rc8_pc8c_diag,0.2,1.111,0.10689,10,err_mean_pct
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.025,0.010992,0.0054094,10,err_mean_pct
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.05,0.023687,0.0090735,10,err_mean_pct
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.075,0.031537,0.012426,10,err_mean_pct
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.1,0.052052,0.033657,10,err_mean_pct
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.125,0.073653,0.028301,10,err_mean_pct
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.15,0.077595,0.039362,10,err_mean_pct
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.175,0.1089,0.041085,10,err_mean_pct
fig4g,M_mom_v2_kinf_rc8_pc8c_fts_diag,0.2,0.1078,0.024225,10,err_mean_pct
fig4g,M_rpy,0.025,0.84363,0.045307,10,err_mean_pct
fig4g,M_rpy,0.05,1.5735,0.05341,10,err_mean_pct
fig4g,M_rpy,0.075,2.4337,0.069801,10,err_mean_pct
fig4g,M_rpy,0.1,3.0859,0.10466,10,err_mean_pct
fig4g,M_rpy,0.125,3.8614,0.083297,10,err_mean_pct
fig4g,M_rpy,0.15,4.5786,0.11352,10,err_mean_pct
fig4g,M_rpy,0.175,5.2531,0.14682,10,err_mean_pct
fig4g,M_rpy,0.2,5.9726,0.17781,10,err_mean_pct
fig4g,SD,0.025,2.1171,0.21913,10,err_mean_pct
