cfg,family,param,P,stage,err2_lin,true2_lin,err2_ang,true2_ang
14462,grown,0.2,24,2b,0.0070994611,0.1902914,0.0013948755,0.11654996
14462,grown,0.2,24,b1,0.0019969985,0.1902914,0.00049398468,0.11654996
14462,grown,0.2,24,moments,0.0012143074,0.1902914,0.00032774654,0.11654996
14462,grown,0.2,24,diag,0.0010109335,0.1902914,0.00019827107,0.11654996
14780,grown,0.2,24,2b,0.00550435,0.88690254,0.001180594,0.090925101
14780,grown,0.2,24,b1,0.0022204806,0.88690254,0.00053339295,0.090925101
14780,grown,0.2,24,moments,0.00094769394,0.88690254,0.00038266798,0.090925101
14780,grown,0.2,24,diag,0.00070338908,0.88690254,0.00027076723,0.090925101
15046,grown,0.2,24,2b,0.010520556,0.63524911,0.0028728502,0.14120879
15046,grown,0.2,24,b1,0.0032464065,0.63524911,0.00071200952,0.14120879
15046,grown,0.2,24,moments,0.0011816464,0.63524911,0.00056073488,0.14120879
15046,grown,0.2,24,diag,0.00095725184,0.63524911,0.00024407871,0.14120879
15131,grown,0.2,32,2b,0.0079838568,0.57302982,0.0017370397,0.14323953
15131,grown,0.2,32,b1,0.0016715243,0.57302982,0.00066114836,0.14323953
15131,grown,0.2,32,moments,0.00090050499,0.57302982,0.00050453189,0.14323953
15131,grown,0.2,32,diag,0.0007670355,0.57302982,0.00040995721,0.14323953
15315,grown,0.2,32,2b,0.011358564,0.69321291,0.0020697349,0.1344748
15315,grown,0.2,32,b1,0.0024394243,0.69321291,0.0008480748,0.1344748
15315,grown,0.2,32,moments,0.0010116028,0.69321291,0.00046401456,0.1344748
15315,grown,0.2,32,diag,0.00082717917,0.69321291,0.00031908716,0.1344748
15473,grown,0.2,32,2b,0.017838864,1.2029831,0.0026424908,0.10725396
15473,grown,0.2,32,b1,0.0049184059,1.2029831,0.00078432836,0.10725396
15473,grown,0.2,32,moments,0.0021323775,1.2029831,0.00047413057,0.10725396
15473,grown,0.2,32,diag,0.0020383913,1.2029831,0.0004342422,0.10725396
15376,grown,0.2,32,2b,0.014875694,0.23023503,0.0018359513,0.12449209
15376,grown,0.2,32,b1,0.0031001801,0.23023503,0.00051696453,0.12449209
15376,grown,0.2,32,moments,0.0013542956,0.23023503,0.00030824284,0.12449209
15376,grown,0.2,32,diag,0.001205103,0.23023503,0.00026693971,0.12449209
15497,grown,0.2,32,2b,0.0064702622,0.24977135,0.0013332997,0.084527282
15497,grown,0.2,32,b1,0.0016106886,0.24977135,0.00046921986,0.084527282
15497,grown,0.2,32,moments,0.00076597727,0.24977135,0.00029733715,0.084527282
15497,grown,0.2,32,diag,0.00063446222,0.24977135,0.00024017251,0.084527282
