case,n,loading,policy,order,pdeg,mac,hilbert_q,buckets,near_pairs,far_ms,traverse_ms,p2p_ms,upward_ms,build_ms,rel_far
uniform750k,750000,random,cart,4,,0.33,28.0,21954,43526805,137.2748212888837,96.13539123535156,25.691328048706055,2.494742,8.092699,0.0007940860674912915
uniform750k,750000,random,cart,4,,0.33,36.0,46658,37488142,200.1624551291267,112.106689453125,16.59097671508789,3.443934,12.653035,0.0008086607418643243
twoball0,1047968,random,bary,,7,0.8,,1309,7334207,95.88221274316311,58.45827102661133,22.648223876953125,5.676218,4.397177,0.0003058785377578374
twoball0,1047968,random,bary,,7,0.8,12.0,1599,6281979,93.04580713311832,58.457279205322266,19.183616638183594,6.026774,4.579976,0.0003043853527415136
twoball0,1047968,random,bary,,7,0.8,14.0,1795,5861766,93.30244890103738,60.642494201660156,16.457632064819336,6.587471,4.670585,0.00031698619470429924
twoball0,1047968,random,bary,,7,0.8,16.0,1661,4099698,91.50109843661387,63.376319885253906,11.962719917297363,6.6281,4.657615,0.0003311831043770306
twoball0,1047968,random,bary,,7,0.8,18.0,2265,4166664,91.73215708384912,67.26080322265625,8.85478401184082,5.478789,5.429709,0.00031691943697141097
twoball0,1047968,random,bary,,7,0.8,20.0,2982,4238723,93.41598426302274,70.06393432617188,7.058495998382568,5.324621,6.099604,0.0003182715813974119
twoball0,1047968,random,bary,,7,0.8,22.0,3813,4741899,98.17409887909889,75.33558654785156,6.585728168487549,4.651255,6.819579,0.0003338685922045962
twoball0,1047968,random,bary,,7,0.8,26.0,6101,4564806,96.62375692278147,75.51087951660156,4.435423851013184,4.542616,7.175356,0.00033029972154076284
twoball0,1047968,random,bary,,7,0.8,28.0,7547,4990614,98.8478371873498,77.29830169677734,4.617023944854736,4.663615,7.390234,0.0003377094608514742
twoball0,1047968,random,bary,,7,0.8,36.0,15362,5742285,110.82789674401283,88.63606262207031,3.762592077255249,5.256591,8.051759,0.00033528645011937327
twoball0,1047968,random,cart,4,,0.33,,1309,83364141,346.4393690228462,47.41209411621094,285.9982604980469,4.646995,4.457017,0.0002496572872870251
twoball0,1047968,random,cart,4,,0.33,12.0,1599,71557566,306.24846431116265,49.970176696777344,239.7136688232422,4.802514,4.817684,0.0002621467203715919
twoball0,1047968,random,cart,4,,0.33,14.0,1795,68404501,276.37671555082005,50.527679443359375,212.13072204589844,4.447277,4.681545,0.00026360849034793817
twoball0,1047968,random,cart,4,,0.33,16.0,1661,48852443,219.84407709290585,49.71414566040039,158.07568359375,4.511396,4.738894,0.0002890346900904989
twoball0,1047968,random,cart,4,,0.33,18.0,2265,49798921,188.11809923499823,56.3309440612793,118.51171112060547,3.746002,5.478708,0.0003061705216605304
twoball0,1047968,random,cart,4,,0.33,20.0,2982,48965591,166.33191611617804,62.42124938964844,89.50240325927734,3.128907,6.163804,0.00032674004053637727
twoball0,1047968,random,cart,4,,0.33,22.0,3813,52574088,166.3697293649117,71.94457244873047,79.30831909179688,2.826448,6.883979,0.000314547635255644
twoball0,1047968,random,cart,4,,0.33,26.0,6101,43767709,134.5901545137167,74.82793426513672,45.53580856323242,2.462891,7.310095,0.00036219698451559867
twoball0,1047968,random,cart,4,,0.33,28.0,7547,45608616,138.7529969215393,79.06665802001953,44.34233474731445,2.455582,7.447894,0.00036307593664387723
twoball0,1047968,random,cart,4,,0.33,36.0,15362,41227414,145.94901291032633,102.11759948730469,28.342912673950195,2.793909,8.210269,0.0004070818474038552
