backend,n,step,t,far_ms,nsearch_ms,self2b_ms,nbody_ms,overall_near_ms,total_gpu_ms,near_pairs,wall_ms,z_std,bbox_vol,gpu,git_sha,label,mac,max_leaf,pdeg,fp32_level,hilbert_q,pair_budget_gb
widebvh,1047968,40,0.4,385.588,11.079,606.759,1446.965,2065.563,2452.101,19943030,2452.135,220.747,161919296.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
widebvh,1047968,41,0.41,393.004,11.383,606.039,1452.952,2071.143,2465.109,19996812,2465.145,220.358,164423888.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
widebvh,1047968,42,0.42,382.551,11.482,607.259,1450.966,2070.484,2453.999,20047410,2454.033,220.005,167119856.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
widebvh,1047968,43,0.43,387.204,11.37,607.742,1458.862,2078.74,2466.897,20089460,2466.938,219.691,169849584.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
widebvh,1047968,44,0.44,391.181,11.382,612.012,1456.073,2080.252,2472.336,20126094,2472.373,219.419,172649936.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
widebvh,1047968,45,0.45,389.692,11.753,613.708,1459.485,2085.722,2476.383,20161486,2476.419,219.191,175644208.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
widebvh,1047968,46,0.46,395.443,11.627,610.993,1464.274,2087.674,2484.099,20189098,2484.134,219.01,178674496.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
widebvh,1047968,47,0.47,386.916,11.601,614.53,1466.409,2093.309,2481.211,20207454,2481.246,218.879,181824368.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
widebvh,1047968,48,0.48,386.433,11.486,615.293,1465.53,2093.1,2480.585,20218406,2480.634,218.8,184974080.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
widebvh,1047968,49,0.49,377.023,12.246,616.183,1467.135,2096.42,2474.555,20220802,2474.596,218.775,188056000.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf512,0.8,512,7,3,,1.0
widebvh,1047968,0,0.0,357.335,10.745,641.184,1528.93,2181.644,2539.996,21166894,2540.05,238.229,95863408.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,1,0.01,369.947,11.708,649.72,1551.98,2214.189,2585.083,21469804,2585.141,238.246,97852400.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,2,0.02,374.886,12.152,662.477,1574.026,2249.457,2625.298,21835282,2625.335,238.226,99814648.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,3,0.03,382.2,12.314,664.481,1590.821,2268.413,2651.628,22042148,2651.663,238.168,101685608.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,4,0.04,378.184,12.349,669.296,1590.741,2273.191,2652.342,22085564,2652.38,238.072,103458416.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,5,0.05,380.898,12.161,662.675,1579.114,2254.74,2636.607,21883824,2636.645,237.939,105128048.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,6,0.06,376.522,12.015,655.55,1562.506,2230.87,2608.371,21663044,2608.411,237.77,106688936.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,7,0.07,374.264,11.791,650.92,1550.638,2214.133,2589.352,21463424,2589.392,237.565,108138040.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,8,0.08,375.367,11.758,642.881,1536.849,2192.266,2569.067,21241726,2569.105,237.325,109471312.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,9,0.09,375.343,11.822,660.824,1529.916,2203.348,2579.644,21088914,2579.682,237.051,110720200.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,10,0.1,378.062,11.681,638.774,1522.746,2173.987,2552.997,21056956,2553.037,236.743,112290872.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,11,0.11,379.725,11.85,642.091,1530.667,2185.396,2566.078,21098576,2566.12,236.403,113757616.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,12,0.12,376.532,11.81,643.557,1530.278,2186.436,2563.943,21163740,2563.982,236.033,115367544.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,13,0.13,382.041,11.752,644.019,1536.613,2193.175,2576.177,21214344,2576.216,235.632,117011536.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,14,0.14,384.055,11.862,669.015,1539.25,2220.926,2605.951,21223830,2605.99,235.204,118539112.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,15,0.15,383.087,11.792,641.911,1536.438,2190.933,2574.967,21201472,2575.007,234.749,119950936.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,16,0.16,387.957,11.733,639.771,1530.576,2182.881,2571.833,21147006,2571.872,234.27,121248872.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,17,0.17,389.805,11.626,638.366,1525.549,2176.328,2567.071,21049604,2567.114,233.767,122436680.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,18,0.18,388.596,11.547,635.041,1515.542,2162.919,2552.462,20911482,2552.503,233.243,123927856.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,19,0.19,390.633,12.206,629.94,1507.098,2150.042,2541.65,20747948,2541.691,232.7,125462336.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,20,0.2,389.267,11.562,623.81,1498.945,2135.105,2525.35,20567998,2525.392,232.139,126894856.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,21,0.21,385.144,11.334,619.963,1478.055,2110.126,2496.228,20385244,2496.274,231.562,128239168.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,22,0.22,391.979,11.747,611.154,1464.743,2088.413,2481.365,20206898,2481.406,230.973,129684376.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,23,0.23,383.544,11.668,611.418,1457.429,2081.293,2465.841,20036108,2465.883,230.372,131272904.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,24,0.24,387.494,11.671,604.185,1441.226,2057.845,2446.3,19874718,2446.344,229.763,132824480.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,25,0.25,389.875,11.591,599.579,1433.708,2045.635,2436.468,19727574,2436.509,229.147,134298000.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,26,0.26,389.241,11.595,593.5,1422.666,2028.502,2418.728,19596564,2418.774,228.526,135702032.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,27,0.27,394.401,11.171,594.638,1418.409,2024.956,2420.304,19489928,2420.347,227.904,137046144.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,28,0.28,398.17,11.452,588.961,1411.567,2012.713,2411.849,19411286,2411.891,227.282,138523424.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,29,0.29,399.141,11.1,587.114,1412.414,2011.362,2411.484,19373340,2411.529,226.662,140162464.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,30,0.3,401.246,11.201,590.451,1412.208,2014.595,2416.822,19378830,2416.869,226.048,142093696.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,31,0.31,398.786,11.178,589.272,1409.238,2010.435,2410.197,19414110,2410.242,225.442,144027264.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,32,0.32,401.126,11.152,591.446,1414.332,2017.676,2419.736,19461524,2419.778,224.845,145918176.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,33,0.33,399.612,11.341,593.211,1416.456,2021.736,2422.302,19515142,2422.345,224.262,147771696.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,34,0.34,402.514,11.376,595.721,1426.415,2034.247,2437.727,19572148,2437.77,223.693,149593312.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,35,0.35,401.837,11.491,596.498,1429.148,2037.898,2440.719,19631838,2440.763,223.143,151387792.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,36,0.36,400.551,11.508,600.37,1431.292,2043.929,2445.468,19690302,2445.51,222.612,153196576.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,37,0.37,397.594,11.185,599.055,1435.188,2046.176,2444.702,19753224,2444.745,222.105,155163728.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,38,0.38,384.632,11.289,606.818,1443.035,2061.908,2447.52,19821522,2447.564,221.623,157290208.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,39,0.39,390.046,11.237,605.58,1445.762,2063.341,2454.362,19885944,2454.405,221.169,159531008.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
widebvh,1047968,40,0.4,391.636,11.191,608.288,1450.474,2070.711,2463.327,19943150,2463.374,220.747,161920352.0,NVIDIA GeForce RTX 4060 Laptop GPU,ac78eb4,fp32l3_p7_mac0.8_leaf1024,0.8,1024,7,3,,1.0
