case,n,loading,backend,policy,order,pdeg,max_leaf,mac,theta,rel_far,rel_total,far_ms,near_pairs,traverse_ms,p2p_ms,build_ms,upward_ms,fp32_level,rel_asym,rel_asym_stderr,asym_probes,pair_budget_gb,gpu
twodrop0,1047968,random,widebvh,bary,,7,256,0.6,,1.781553236912018e-05,1.7712945783205817e-05,734.3396316670502,15916511.0,615.0005493164062,71.28217315673828,18.241792,18.259079,3,3.6815123107948144e-05,9.229015306607033e-06,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,random,widebvh,bary,,7,256,0.7,,8.059803843815686e-05,8.013393344126681e-05,521.6203810001995,10141320.0,434.5684509277344,43.620094299316406,18.007001,20.674167,3,0.0001537449257434274,3.2132832822491813e-05,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,random,widebvh,bary,,7,256,0.8,,0.0003268260519097973,0.0003249441003543439,386.7066800000127,7322351.0,311.1626281738281,31.36639976501465,17.935272,17.506028,3,0.0006098323717245036,0.0001222734973828284,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,random,widebvh,bary,,7,256,0.9,,0.0011460318673874304,0.0011394327103042483,315.4082556672317,7141470.0,237.9683837890625,30.17728042602539,18.005169,17.67173,3,0.0015823596969650443,0.0005139000832996546,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,random,widebvh,bary,,7,256,1.0,,0.002091157632762001,0.0020791161895028793,298.0992713334369,7139518.0,224.85093688964844,30.56947135925293,18.041892,17.53176,3,0.003422281500911353,0.0007682002929041249,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,random,widebvh,bary,,7,512,0.6,,1.6370236704111543e-05,1.6275972516026114e-05,693.6045559996273,16963558.0,528.8916625976562,126.40998077392578,17.452831,17.693616,3,3.0608761921481333e-05,8.686181947764495e-06,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,random,widebvh,bary,,7,512,0.7,,7.341985207859062e-05,7.299708099283092e-05,494.46012566719827,10834680.0,372.3892822265625,77.74867248535156,17.478556,20.738872,3,0.00011218036958402786,2.23746527770693e-05,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,random,widebvh,bary,,7,512,0.8,,0.00030789687711972624,0.0003061239248002011,368.36754066704697,7396517.0,275.05108642578125,51.69606399536133,17.384655000000002,17.522689,3,0.0006561264057813702,0.00011649615342522214,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,random,widebvh,bary,,7,512,0.9,,0.0011065701572383342,0.0011001982312047029,295.1163519998469,6633239.0,206.93312072753906,45.59654235839844,17.396033,17.892539,3,0.0028496796605632425,0.0007160184088771667,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,random,widebvh,bary,,7,512,1.0,,0.002074261024781465,0.0020623168766965958,279.93805499985075,6627906.0,191.96922302246094,45.67692947387695,17.088912999999998,18.441924,3,0.0046992388641073106,0.0008424422752381102,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,random,widebvh,bary,,7,1024,0.6,,1.6169284695911208e-05,1.6076177643073093e-05,710.3163573337952,16790878.0,447.40594482421875,221.92979431152344,15.886843,18.417276,3,3.241812868059116e-05,9.33022780124072e-06,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,random,widebvh,bary,,7,1024,0.7,,7.370809011621201e-05,7.328365927897266e-05,497.848967332781,10820533.0,316.3486022949219,136.5758056640625,15.566118,19.99703,3,0.00014895989481903204,4.5905430300553966e-05,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,random,widebvh,bary,,7,1024,0.8,,0.0003089259423195845,0.0003071470643682371,387.5236120002228,7335886.0,254.72647094726562,89.65907287597656,16.067614,22.038956,3,0.0006029589184194736,0.00013581920566084867,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,random,widebvh,bary,,7,1024,0.9,,0.0011365483490387881,0.001130003800583049,299.23431766655995,5946155.0,188.9508819580078,71.81993865966797,15.708269999999999,18.615781,3,0.0020057145334968075,0.00035016925429442314,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
twodrop0,1047968,random,widebvh,bary,,7,1024,1.0,,0.0021196180195200503,0.0021074126937649794,281.1358403341728,5918843.0,165.93653869628906,72.609375,15.960887,19.06142,3,0.0045707520656548374,0.0009409925731848856,8,2.0,NVIDIA GeForce RTX 4060 Laptop GPU
