N,phi,seed,forcing,rung,truth_gap,n_near,sd_check,acc,prmse_lin,prmse_fluct,err_mean_pct,prmse_ang,rel_rmse,max_rel_lin
200,0.2,8425,gravity,diag_ex,3.273244987304921e-06,6369,8.0281413400097e-15,fine,2.250386760607199,17.380672595648274,1.4482159379271684,11.50961567815202,2.2761413293156227,4.518940504413763
200,0.2,8425,gravity,far_ex,3.273244987304921e-06,6369,8.0281413400097e-15,fine,0.0001821330740932,0.0018249836004325,1.5343843619377936e-05,0.0109993219953241,0.0003792687033287,0.000606349007865
200,0.2,8425,gravity,rpy+ref1,3.273244987304921e-06,6369,8.0281413400097e-15,fine,0.5690553768468058,5.695224586741745,0.0553698393292488,9.015307659865298,0.6307899175381239,1.5860115885731905
200,0.2,8425,gravity,rpy+ref2,3.273244987304921e-06,6369,8.0281413400097e-15,fine,1.199179880935238,8.699644111599069,0.834509183160456,7.3681988139547325,1.2191771101904714,2.403498649808633
200,0.2,8425,gravity,rpy+full,3.273244987304921e-06,6369,8.0281413400097e-15,fine,0.7425499657735318,5.642376392265515,0.4887538010156461,4.597191662785296,0.7551251057067512,1.3941318072018472
200,0.2,8425,gravity,sd_minf,3.273244987304921e-06,6369,8.0281413400097e-15,fine,0.7425499657735706,5.6423763922650885,0.4887538010157549,4.597191662785485,0.7551251057067905,1.3941318072019515
200,0.2,8425,gravity,stack+ref1,3.273244987304921e-06,6369,8.0281413400097e-15,fine,5.368855952340844,23.768483270634068,4.844528099470079,27.38458360118398,5.429955804009075,9.50950857502718
200,0.2,8425,gravity,stack+ref2,3.273244987304921e-06,6369,8.0281413400097e-15,fine,4.258998362157766,16.1753436265153,3.963176192724279,16.67790122459189,4.286838231007866,7.117037607974891
200,0.2,8425,gravity,stack+full,3.273244987304921e-06,6369,8.0281413400097e-15,fine,4.675782916641551,18.75919660309697,4.308850723531057,19.66748155783429,4.711356087732311,7.783547673759558
200,0.2,8425,gravity,stack+ref1_uncov,3.273244987304921e-06,6369,8.0281413400097e-15,fine,0.9632520608257044,9.598790660565678,0.1295609789560189,12.54167959143794,1.034857950582621,2.418501721065626
200,0.2,8425,gravity,pnear+ref1_far,3.273244987304921e-06,6369,8.0281413400097e-15,fine,0.5861412608363654,4.826295554495155,0.3381164773572067,4.266985265374239,0.5999224651511322,1.5663941174193463
200,0.2,8425,gravity,pnear+full_far,3.273244987304921e-06,6369,8.0281413400097e-15,fine,0.4117589076939385,2.4954916745072784,0.3302027621897906,2.2432612425189675,0.4171268371088038,1.0892112028305003
200,0.2,8425,random,rpy,0.0006793212065504,6369,3.675521243509674e-14,fine,20.57654156066772,46.32779383049856,6.02825728292277,21.6238175419342,20.68444114409983,84.91613387997027
