case,n,loading,backend,policy,order,pdeg,max_leaf,mac,theta,rel_far,rel_total,far_ms,near_pairs,traverse_ms,p2p_ms,build_ms,upward_ms
uniform100k,100000,random,widebvh-cart,cart,4,,1024,0.5,,0.003554674322072865,0.003424036775608217,12.30196530620257,1777544.0,2.782815933227539,1.3235520124435425,5.421519,1.816086
uniform100k,100000,random,widebvh-cart,cart,4,,1024,0.6,,0.00883793900846427,0.00851313663185816,10.93736911813418,1062857.0,1.9740159511566162,0.792576014995575,5.422328,1.816856
uniform100k,100000,random,widebvh-cart,cart,4,,1024,0.3,,0.00023774479061555715,0.000229007451181137,64.52605687081814,7123810.0,7.286272048950195,5.370240211486816,5.434597999999999,1.814817
uniform100k,100000,random,widebvh-cart,cart,4,,1024,0.32,,0.000334935839209436,0.0003226266394648351,19.68312542885542,6004773.0,6.551936149597168,4.518464088439941,5.458928,1.814716
uniform100k,100000,random,widebvh-cart,cart,4,,1024,0.34,,0.0004634949714364052,0.0004464611054951099,17.906758934259415,5098536.0,5.826432228088379,3.8287999629974365,5.426508,1.813886
uniform100k,100000,random,widebvh-cart,cart,4,,128,0.33,,0.0003951209389574133,0.00038059988151434933,18.694452630976837,5528859.0,6.236703872680664,4.16374397277832,5.496657,1.816316
uniform100k,100000,random,widebvh-cart,cart,4,,256,0.33,,0.00039512093895741627,0.0003805998815143522,18.654019571840763,5528859.0,6.20249605178833,4.158624172210693,5.499498,1.815986
uniform100k,100000,random,widebvh-cart,cart,4,,512,0.33,,0.0003951209389574142,0.0003805998815143502,19.334510900080204,5528859.0,6.200448036193848,4.175968170166016,5.543038,1.824726
uniform100k,100000,random,widebvh-cart,cart,4,,1024,0.33,,0.0003951209389574173,0.0003805998815143532,18.64720011750857,5528859.0,6.206143856048584,4.158175945281982,5.517967,1.815946
uniform100k,100000,random,widebvh-cart,cart,4,,2048,0.33,,0.0003951209389574129,0.000380599881514349,18.647066317498684,5528859.0,6.192351818084717,4.155168056488037,5.499798,1.816876
drop3k,3071,gravity,widebvh-cart,cart,4,,1024,0.33,,1.6292817144554616e-05,1.611723457778009e-05,6.470726492504279,30643.0,0.7277119755744934,0.022943999618291855,3.8562000000000003,1.426209
drop3k,3071,random,widebvh-cart,cart,4,,1024,0.33,,0.0010875066984067719,0.0009509157468898245,6.4924731850624084,30643.0,0.7481279969215393,0.0226879995316267,3.86805,1.425979
uniform100k,100000,gravity,widebvh-cart,cart,4,,1024,0.33,,1.498919461714864e-06,1.4976737047171377e-06,18.637532989184063,5528859.0,6.2142720222473145,4.165311813354492,5.517647999999999,1.815816
uniform100k,100000,random,widebvh-cart,cart,4,,1024,0.33,,0.0003951209389574181,0.000380599881514354,18.618969867626827,5528859.0,6.223680019378662,4.153151988983154,5.470268,1.815146
twoball0,1047968,gravity,widebvh-cart,cart,4,,1024,0.33,,5.154936076475985e-06,5.153965419808385e-06,341.5580590565999,83364141.0,47.384769439697266,276.8106994628906,7.356413,4.628855
twoball0,1047968,random,widebvh-cart,cart,4,,1024,0.33,,0.0002496572872870263,0.00024820783694873034,344.4117372855544,83364141.0,47.22959899902344,284.36810302734375,7.276854,4.613064
twoball100,1047968,gravity,widebvh-cart,cart,4,,1024,0.33,,6.387385202209566e-06,6.3860638347509765e-06,407.69952287276584,98711987.0,49.31139373779297,348.5176086425781,7.168374999999999,4.644664
twoball100,1047968,random,widebvh-cart,cart,4,,1024,0.33,,0.00018902420942340238,0.0001876266453077531,411.50099722047645,98711987.0,50.034976959228516,350.431640625,7.187074000000001,4.765554
