case,n,loading,backend,pdeg,max_leaf,mac,theta,rel_far,rel_total,far_ms,near_pairs,traverse_ms,p2p_ms,build_ms,upward_ms
twoball0,1047968,gravity,widebvh,3,1024,0.7,,0.0010919318084762662,0.00109172620148624,76.69267430901527,10818154.0,31.302047729492188,33.77017593383789,7.503598,2.228681
twoball0,1047968,gravity,widebvh,3,1024,0.8,,0.0017393772286997708,0.0017390497099721936,58.10214066877961,7334207.0,24.020479202270508,22.65648078918457,7.322509,2.230941
twoball0,1047968,gravity,widebvh,3,1024,0.9,,0.002845670989020019,0.0028451351589964626,48.27745631337166,5944395.0,18.78544044494629,18.096895217895508,7.294719,2.228161
twoball0,1047968,gravity,widebvh,5,1024,0.4,,1.280124847197944e-07,1.2798838041083964e-07,308.21376759558916,50683429.0,131.36770629882812,164.33648681640625,7.524417,3.419335
twoball0,1047968,gravity,widebvh,5,1024,0.5,,1.3824675465353423e-06,1.3822072326688116e-06,191.04138404751816,27827442.0,89.45491027832031,88.5564193725586,7.392539,3.412285
twoball0,1047968,gravity,widebvh,5,1024,0.6,,5.472633536813051e-06,5.471603058810408e-06,129.17786231264472,16787678.0,63.370689392089844,52.958335876464844,7.335499,3.385516
twoball0,1047968,gravity,widebvh,5,1024,0.7,,1.4733042093537461e-05,1.4730267912571884e-05,93.27633306384087,10818154.0,46.75737762451172,33.7597770690918,7.346949,3.413086
twoball0,1047968,gravity,widebvh,5,1024,0.8,,3.384183409855151e-05,3.383546179801776e-05,71.02479537328084,7334207.0,35.79190444946289,22.649696350097656,7.340788,3.384765
twoball0,1047968,gravity,widebvh,5,1024,0.9,,7.51849798786598e-05,7.51708228064983e-05,58.52198569724957,5944395.0,27.893407821655273,18.044160842895508,7.318898,3.388645
twoball0,1047968,gravity,widebvh,7,1024,0.4,,1.2505759056170478e-08,1.2503404264911928e-08,398.034938921531,50683429.0,216.97027587890625,164.73960876464844,7.353089,5.608946
twoball0,1047968,gravity,widebvh,7,1024,0.5,,1.934428226059994e-08,1.9340639799029587e-08,252.38623361413678,27827442.0,147.38742065429688,88.60066986083984,7.367409,5.862884
twoball0,1047968,gravity,widebvh,7,1024,0.6,,7.897363325441112e-08,7.895876279189794e-08,172.25778102874756,16787678.0,104.08086395263672,52.96803283691406,7.646336999999999,5.717785
twoball0,1047968,gravity,widebvh,7,1024,0.7,,3.374421204549934e-07,3.373785812686117e-07,125.38787567367156,10818154.0,76.61945343017578,33.78044891357422,7.341978,5.596287
twoball0,1047968,gravity,widebvh,7,1024,0.8,,1.1395762108227775e-06,1.1393616325562647e-06,96.05142769093315,7334207.0,58.40143966674805,22.670528411865234,7.351219,5.561616
twoball0,1047968,gravity,widebvh,7,1024,0.9,,3.7688171501513097e-06,3.7681074948924494e-06,78.36404691139857,5944395.0,45.446720123291016,18.02694320678711,7.309089,5.562487
twoball0,1047968,random,widebvh,3,1024,0.4,,0.0004885522577528686,0.0004857158405067698,264.28497303277254,50683429.0,87.87078094482422,164.9398651123047,7.359788,2.23614
twoball0,1047968,random,widebvh,3,1024,0.5,,0.0013201997128716105,0.0013125349499430604,160.4664713765184,27827442.0,59.7762565612793,88.59712219238281,7.371017999999999,2.22002
twoball0,1047968,random,widebvh,3,1024,0.6,,0.0030535843655100543,0.0030358559869808296,107.3855593179663,16787678.0,42.62793731689453,53.02048110961914,7.375197999999999,2.240341
twoball0,1047968,random,widebvh,3,1024,0.7,,0.0062764589584145625,0.0062400193428942844,76.57503165925543,10818154.0,31.23583984375,33.783935546875,7.312109,2.235411
twoball0,1047968,random,widebvh,3,1024,0.8,,0.012118697074762399,0.012048338825797986,58.10629731665055,7334207.0,24.012351989746094,22.674367904663086,7.332938,2.2306
twoball0,1047968,random,widebvh,3,1024,0.9,,0.02128964124274224,0.021166038691273294,48.28255313138167,5944395.0,18.77939224243164,18.098207473754883,7.297119,2.22228
twoball0,1047968,random,widebvh,5,1024,0.4,,1.2762125071230214e-05,1.2688031233622328e-05,310.12523965910077,50683429.0,131.86642456054688,164.84115600585938,7.4837180000000005,3.478115
twoball0,1047968,random,widebvh,5,1024,0.5,,6.0131268258027e-05,5.9782160534932344e-05,192.089112320294,27827442.0,90.22284698486328,88.99555206298828,7.354818999999999,3.422706
twoball0,1047968,random,widebvh,5,1024,0.6,,0.00021273612472784257,0.0002115010298050974,129.62233709792295,16787678.0,63.44102478027344,52.94566345214844,7.364267999999999,3.408255
twoball0,1047968,random,widebvh,5,1024,0.7,,0.000643872803697511,0.0006401346326099353,93.23791678374012,10818154.0,46.70988845825195,33.759521484375,7.441999,3.396375
twoball0,1047968,random,widebvh,5,1024,0.8,,0.0017926563493055505,0.0017822486164482995,71.01878865311544,7334207.0,35.781150817871094,22.626047134399414,7.334699,3.383255
twoball0,1047968,random,widebvh,5,1024,0.9,,0.004533296574352562,0.004506977341596752,58.71806169549624,5944395.0,27.93631935119629,18.059232711791992,7.310178,3.384575
twoball0,1047968,random,widebvh,7,1024,0.4,,3.9816594438691245e-07,3.958542884001756e-07,401.7580463550985,50683429.0,217.47996520996094,169.7998046875,7.407468,5.788365
twoball0,1047968,random,widebvh,7,1024,0.5,,2.96989140975485e-06,2.9526489324558705e-06,254.07116999849677,27827442.0,149.361083984375,90.61408233642578,7.525518,5.908015
twoball0,1047968,random,widebvh,7,1024,0.6,,1.601975148130293e-05,1.5926744645987537e-05,172.59150634830198,16787678.0,104.67411041259766,52.91961669921875,7.356908000000001,5.586306
twoball0,1047968,random,widebvh,7,1024,0.7,,7.264160088580744e-05,7.221986117164783e-05,125.38726534694433,10818154.0,76.58646392822266,33.78054428100586,7.385287999999999,5.596217
twoball0,1047968,random,widebvh,7,1024,0.8,,0.0003058785377578368,0.0003041026803220358,96.01691132411361,7334207.0,58.487518310546875,22.674400329589844,7.334938000000001,5.588396
twoball0,1047968,random,widebvh,7,1024,0.9,,0.0011078241728628164,0.0011013924113886064,78.3203241104881,5944395.0,45.523681640625,18.01923179626465,7.326249000000001,5.487757
twoball0,1047968,gravity,warpfmm,,16,,0.3,0.0010805557497775764,0.001080352284860131,215.373695983241,0,0,0,0,0
twoball0,1047968,gravity,warpfmm,,16,,0.28,0.0009360067138381731,0.0009358304670051907,258.5754740672807,0,0,0,0,0
twoball0,1047968,gravity,warpfmm,,16,,0.2,0.0005219855611000037,0.0005218872730208198,614.1461686541637,0,0,0,0,0
twoball0,1047968,random,warpfmm,,16,,0.3,0.009265673534246083,0.009211879255758578,215.57234165569147,0,0,0,0,0
twoball0,1047968,random,warpfmm,,16,,0.28,0.008120849326086704,0.00807370162240516,258.592927052329,0,0,0,0,0
twoball0,1047968,random,warpfmm,,16,,0.2,0.004048507694364122,0.0040250030295856274,613.0692600272596,0,0,0,0,0
twoball100,1047968,gravity,widebvh,3,1024,0.4,,5.773155089457684e-05,5.771960788655853e-05,309.0239843974511,62431940.0,89.03094482421875,208.6453094482422,7.027229999999999,2.092921
twoball100,1047968,gravity,widebvh,3,1024,0.5,,0.00016155920137017347,0.00016152577938847548,190.3457666436831,36183643.0,59.98031997680664,119.50211334228516,7.120749,2.077291
twoball100,1047968,gravity,widebvh,3,1024,0.6,,0.00034114195310022314,0.00034107138057933766,128.08963702991605,22730054.0,42.975425720214844,74.16393280029297,7.047739,2.068671
twoball100,1047968,gravity,widebvh,3,1024,0.7,,0.0007424999901693893,0.0007423463881407104,92.12756125877301,15129336.0,32.02163314819336,49.10688018798828,7.03496,2.071451
twoball100,1047968,gravity,widebvh,3,1024,0.8,,0.0016264677203933935,0.0016261312507035068,69.16491625209649,10510649.0,24.58278465270996,33.76652908325195,6.98387,2.063421
twoball100,1047968,gravity,widebvh,3,1024,0.9,,0.0031386515174503193,0.00313800222014826,55.66898096973697,8022957.0,19.261728286743164,25.586271286010742,6.958829999999999,2.055812
twoball100,1047968,gravity,widebvh,5,1024,0.4,,3.3311101164856705e-07,3.330421004999584e-07,354.2938434208433,62431940.0,131.81280517578125,209.33590698242188,7.034599,3.435345
twoball100,1047968,gravity,widebvh,5,1024,0.5,,2.0978017172948054e-06,2.0973677420708205e-06,221.47837296749154,36183643.0,89.77216339111328,119.12838745117188,7.06987,3.470025
twoball100,1047968,gravity,widebvh,5,1024,0.6,,7.770558066483643e-06,7.768950560087978e-06,150.88883927091956,22730054.0,64.16178894042969,74.2200927734375,7.037030000000001,3.434186
twoball100,1047968,gravity,widebvh,5,1024,0.7,,2.7326110691433862e-05,2.7320457700061902e-05,109.1547617688775,15129336.0,47.56758499145508,48.822689056396484,7.0183100000000005,3.402785
twoball100,1047968,gravity,widebvh,5,1024,0.8,,9.203104823850889e-05,9.201200964470683e-05,82.75214831034343,10510649.0,36.61702346801758,33.738304138183594,7.00477,3.401055
twoball100,1047968,gravity,widebvh,5,1024,0.9,,0.0002660234796154999,0.0002659684469600303,66.61113755156596,8022957.0,28.676511764526367,25.6144962310791,7.054539999999999,3.415196
twoball100,1047968,gravity,widebvh,7,1024,0.4,,9.554218683695947e-09,9.552242188892327e-09,443.0730394087732,62431940.0,217.81455993652344,211.9773406982422,7.053869000000001,4.862859
twoball100,1047968,gravity,widebvh,7,1024,0.5,,3.8146467694571645e-08,3.813857628056168e-08,281.1856203091641,36183643.0,147.92466735839844,119.6737289428711,7.054259,4.80837
twoball100,1047968,gravity,widebvh,7,1024,0.6,,2.221802960093958e-07,2.221343332556566e-07,193.60161603738865,22730054.0,105.50982666015625,74.36851501464844,7.051399999999999,4.790829
twoball100,1047968,gravity,widebvh,7,1024,0.7,,1.2421942153078611e-06,1.241937240824345e-06,141.1110876748959,15129336.0,78.442626953125,49.14262390136719,7.082269,4.75331
twoball100,1047968,gravity,widebvh,7,1024,0.8,,8.491642897745122e-06,8.48988621950515e-06,107.66260139644146,10510649.0,59.937503814697266,33.75273513793945,6.99501,4.732909
twoball100,1047968,gravity,widebvh,7,1024,0.9,,3.6257495086567956e-05,3.624999444700722e-05,86.01063101862867,8022957.0,46.695777893066406,25.574495315551758,7.02383,4.74002
twoball100,1047968,random,widebvh,3,1024,0.4,,0.0004229496029675309,0.0004198224945953356,310.20835259308416,62431940.0,89.08448028564453,210.18719482421875,7.060319,2.092181
twoball100,1047968,random,widebvh,3,1024,0.5,,0.0012190386712231517,0.001210025620949395,190.45394969483218,36183643.0,59.909664154052734,119.43001556396484,7.0678399999999995,2.088811
twoball100,1047968,random,widebvh,3,1024,0.6,,0.002848033766613344,0.002826976623697536,128.09755699709058,22730054.0,42.88195037841797,74.19462585449219,7.020841000000001,2.065661
twoball100,1047968,random,widebvh,3,1024,0.7,,0.0062783319382267045,0.0062319126385519934,92.11670824637015,15129336.0,32.0186882019043,49.09552001953125,7.00645,2.066941
twoball100,1047968,random,widebvh,3,1024,0.8,,0.012510756755135756,0.012418257573396395,69.1410698927939,10510649.0,24.53500747680664,33.73148727416992,6.965109999999999,2.064291
twoball100,1047968,random,widebvh,3,1024,0.9,,0.02323810764154414,0.02306629501788877,55.61932145307461,8022957.0,19.29427146911621,25.61577606201172,6.95315,2.054411
twoball100,1047968,random,widebvh,5,1024,0.4,,1.1420597149797235e-05,1.1336158141669491e-05,358.30985273544985,62431940.0,131.92227172851562,210.55686950683594,7.046179,3.466905
twoball100,1047968,random,widebvh,5,1024,0.5,,5.518296051472126e-05,5.477496131903138e-05,222.5310285575688,36183643.0,89.6550064086914,119.80368041992188,7.048220000000001,3.447676
twoball100,1047968,random,widebvh,5,1024,0.6,,0.00019627220547679668,0.00019482105277995198,150.882326066494,22730054.0,64.16534423828125,74.21955108642578,7.014100000000001,3.426325
twoball100,1047968,random,widebvh,5,1024,0.7,,0.0006193678317544083,0.0006147884910515011,109.46116705114643,15129336.0,47.86800003051758,49.198143005371094,7.026389999999999,3.418315
twoball100,1047968,random,widebvh,5,1024,0.8,,0.001783018215003511,0.001769835341325906,82.9975373732547,10510649.0,36.655391693115234,33.78169631958008,7.04479,3.386896
twoball100,1047968,random,widebvh,5,1024,0.9,,0.004835596852087117,0.004799844518252006,66.53668141613404,8022957.0,28.626304626464844,25.57916831970215,6.97069,3.397565
twoball100,1047968,random,widebvh,7,1024,0.4,,3.215933596192022e-07,3.1921563593710947e-07,447.7157990137736,62431940.0,220.85740661621094,213.67446899414062,7.211539,5.115328
twoball100,1047968,random,widebvh,7,1024,0.5,,2.470949813135403e-06,2.452680667606678e-06,282.3443819458286,36183643.0,147.72647094726562,120.47113800048828,7.056819,4.79341
