backend,n,step,t,far_ms,nsearch_ms,self2b_ms,nbody_ms,overall_near_ms,total_gpu_ms,near_pairs,wall_ms,z_std,bbox_vol,gpu,git_sha
widebvh,1047968,71,0.71,106.956,2.463,26.301,142.54,171.569,279.118,19713098,279.173,235.749,269974016.0,NVIDIA H200,ac78eb4
widebvh,1047968,72,0.72,108.263,2.573,26.338,142.357,171.527,280.392,19684390,280.448,237.403,274516288.0,NVIDIA H200,ac78eb4
widebvh,1047968,73,0.73,109.181,2.495,26.258,141.523,170.587,280.443,19666204,280.526,239.135,278793600.0,NVIDIA H200,ac78eb4
widebvh,1047968,74,0.74,108.721,2.653,26.209,141.308,170.458,279.817,19655868,279.883,240.942,282787488.0,NVIDIA H200,ac78eb4
widebvh,1047968,75,0.75,108.114,2.469,26.194,141.302,170.23,278.966,19655994,279.023,242.825,287119296.0,NVIDIA H200,ac78eb4
widebvh,1047968,76,0.76,108.911,2.477,26.22,141.292,170.254,279.777,19665488,279.835,244.782,291564224.0,NVIDIA H200,ac78eb4
widebvh,1047968,77,0.77,108.474,2.474,26.204,141.494,170.44,279.538,19676804,279.603,246.812,296144672.0,NVIDIA H200,ac78eb4
widebvh,1047968,78,0.78,107.967,2.473,26.244,141.566,170.543,279.132,19689780,279.189,248.914,300423648.0,NVIDIA H200,ac78eb4
widebvh,1047968,79,0.79,108.448,2.458,26.275,142.656,171.656,280.723,19701814,280.779,251.088,304445184.0,NVIDIA H200,ac78eb4
widebvh,1047968,80,0.8,109.456,2.547,26.384,142.522,171.726,281.775,19710594,281.834,253.331,308989312.0,NVIDIA H200,ac78eb4
widebvh,1047968,81,0.81,110.173,2.503,26.243,141.756,170.767,281.531,19718032,281.587,255.643,313249536.0,NVIDIA H200,ac78eb4
widebvh,1047968,82,0.82,108.822,2.588,26.263,141.835,170.952,280.374,19720916,280.428,258.022,317241120.0,NVIDIA H200,ac78eb4
widebvh,1047968,83,0.83,108.854,2.52,26.373,142.662,171.814,281.269,19720044,281.325,260.467,321861632.0,NVIDIA H200,ac78eb4
widebvh,1047968,84,0.84,109.542,2.552,26.3,141.718,170.835,280.993,19715626,281.048,262.976,326162688.0,NVIDIA H200,ac78eb4
widebvh,1047968,85,0.85,108.334,2.502,26.29,142.773,171.822,280.772,19712276,280.827,265.549,330144000.0,NVIDIA H200,ac78eb4
widebvh,1047968,86,0.86,109.938,2.512,26.297,142.605,171.675,282.234,19708466,282.289,268.184,334783936.0,NVIDIA H200,ac78eb4
widebvh,1047968,87,0.87,112.521,2.505,26.216,141.676,170.653,283.781,19703004,283.837,270.879,339201888.0,NVIDIA H200,ac78eb4
widebvh,1047968,88,0.88,106.074,2.513,26.219,141.698,170.687,277.359,19695126,277.414,273.634,343317376.0,NVIDIA H200,ac78eb4
widebvh,1047968,89,0.89,106.189,2.558,26.241,141.605,170.669,277.446,19691348,277.502,276.446,348120352.0,NVIDIA H200,ac78eb4
widebvh,1047968,90,0.9,106.257,2.531,26.181,141.651,170.625,277.484,19687224,277.541,279.315,352579136.0,NVIDIA H200,ac78eb4
widebvh,1047968,91,0.91,106.978,2.535,26.355,142.571,171.727,279.298,19683176,279.353,282.238,356672768.0,NVIDIA H200,ac78eb4
